year,humanMass,plasticMass,notes
2016,373201100,8218478000,"2018 -- Ellen MacArthur Foundation and UN sign up 290 companies  including Danone, H&M Group, L’Oreal, PepsiCo, The Coca-Cola Company, Unilever and Mars to commit to the ‘New Plastics Economy Global Commitment’ to ensure 100% of packaging can be safely reused, recycled, or composted by 2025"
2017,377392950,8628984164,"Ocean Cleanup launched first pilot in June, after years of development and testing. "
2018,381554550,9055089562,
2019,385673400,9497386966,"Banning harmful single-use plastics as early as 2021 under the Canadian Environmental Protection Act and taking other steps to reduce plastic waste, where supported by scientific evidence and when warranted – and taking other steps to reduce plastic waste. The ban would reduce pollution from single-use plastic products and packaging – such as shopping bags, straws, cutlery, plates, and stir sticks"
2020,389739950,9956491670,
2021,395867052,10433042354,"The ban would reduce pollution from single-use plastic products and packaging – such as shopping bags, straws, cutlery, plates, and stir sticks"
2022,400388458,10927701963,
2023,404930629,11441158638,"290 companies who signed the ‘New Plastics Economy Global Commitment’ in 2018 achieve reuse, recycling or composting of 100% of packaging sold worldwide."
2024,409494493,11974126666,
2025,414081347,12527347479,
2026,418692931,13101590684,
2027,423331597,13697655130,
2028,428000321,14316370024,50% reuse and recycling rate for plastics worldwide reached (McKinsey)
2029,432702569,14958596085,
2030,437441951,15625226737,
2031,442221943,16315189461,
2032,447046123,17029300880,
2033,451918508,17768406199,
2034,456843352,18533380204,
2035,461825187,19325128300,
2036,466868317,20144587579,
2037,471977684,20992727932,
2038,477159355,21870553198,
2039,482419961,22779102348,
2040,487765789,23719450719,
2041,493202699,24692711282,
2042,498735784,25700035965,
2043,504369701,26742617012,
2044,510108798,27821688396,
2045,515957958,28938527278,
2046,521923341,30094455521,
2047,528011605,31290841252,
2048,534228916,32529100484,The weight of plastic will overtake that of fish.
2049,540581574,33810698790,This is the year 2049
2050,547076344,35137153035,This is the year 2050
